time,$x$,$\dot{x}$,u_0
0.0,-0.004511007510872522,0.04952235948906669,-0.34887318997501093
0.01,-0.004017608599998163,0.04761264877518581,0.4147663650364608
0.02,-0.003529560257351898,0.05180399346766865,0.19412713228434053
0.03,-0.0030106800753971104,0.05336493738036703,-0.19336567319594544
0.04,-0.0024807406074158654,0.05103482313738292,-0.10632183619328595
0.05,-0.0019721177370782875,0.04963095884273851,0.12569686084339227
0.06,-0.0014666200528730248,0.05259174732438102,-0.29039217044145593
0.07,-0.0009524413749813897,0.04755332874048258,0.05589264211583622
0.08,-0.0004763467636979785,0.04800096542777715,-0.0443741871433323
0.09,-3.781679916548095e-07,0.048470801123720327,-0.02637916463459644
0.1,0.00048140588360053515,0.04773936972019378,-0.3599305388216557
0.11,0.000950316784308916,0.043933462819043104,0.32670100826278936
0.12,0.0013921404007140568,0.045734668702639314,0.012598418642087439
0.13,0.0018502374904206963,0.04548802842163924,-0.25693117595266846
0.14,0.0023011010833504934,0.043696357033603486,-0.005451574322885788
0.15,0.0027350812085017123,0.0431220705240764,0.411797779813748
0.16,0.00317650950237888,0.04653808532803459,0.12459467342455888
0.17,0.0036500685297857927,0.048007196209443374,-0.39123809740215354
0.18,0.0041263725922288585,0.04622581788811395,-0.3618105993549814
0.19,0.004584742246954634,0.0442689718508956,-0.003322336153949168
0.2,0.0050239610138345155,0.04363295521776873,-0.056425105210254456
0.21,0.0054530222554186,0.041920981906533386,-0.053802362007476234
0.22,0.005869994942835549,0.04157095726062909,0.3094318373525584
0.23,0.006289751131071555,0.04401701904370271,-0.399837146148041
0.24,0.006719134353446595,0.04089558402978454,-0.1611520407616035
0.25,0.0071188458050863886,0.039344159637206826,0.3318050275836817
0.26,0.007521126436985722,0.042571020517031447,0.20385456838555038
0.27,0.007948868171207019,0.04464300394745288,0.06495596690633154
0.28,0.008400365739560654,0.0453754273838918,-0.06284387965109861
0.29,0.008855107797483702,0.045974317827240235,0.30272258144154773
0.3,0.009324584308302613,0.049600737178156405,0.2529287530446068
0.31,0.00983165074059247,0.05304180840927237,-0.1470692291389415
0.32,0.01035670455995109,0.051287385882252685,-0.30634694141956287
0.33,0.010861678433872915,0.04799053697675768,0.44494133023088744
0.34,0.011352974474299199,0.052843934684190276,-0.17448516759914434
0.35000000000000003,0.011876162429072917,0.04941501139097072,-0.15979972103572493
0.36,0.012360815222996445,0.046829335467567006,-0.04561520102835026
0.37,0.012829018755739285,0.044962722275971194,-0.4616798250273667
0.38,0.013263730253252214,0.039202516494839156,-0.04031119698926433
