time,$T_1$,$T_2$,$T_{wall}$,$T_{out}$,u_0
0.0,297.1106537277034,295.1321462346051,293.9763494832346,294.7812045905229,0.0
60.0,294.9653881679709,294.96033098000373,294.9209777307944,294.8016295176849,0.0
120.0,294.948755825876,294.9562711610885,295.0144653364891,295.18250710786947,0.0
180.0,295.4673119336354,295.46955436445853,295.5426682626825,295.7487477235676,0.0
240.0,296.02689410129483,296.021300334261,296.12556131689905,296.34395236969596,0.0
300.0,296.43871265417573,296.4474897198956,296.47314575730013,296.5720690725092,0.0
360.0,296.6188503865085,296.6153450429223,296.6550513648157,296.69212667709445,0.0
420.0,296.47826967362505,296.4770387624072,296.45517548941524,296.31502086675835,0.0
480.0,296.08100259889653,296.0943644196722,296.00570263209994,295.8102471821659,0.0
540.0,295.5650965914752,295.55636250683125,295.4438757031806,295.13047475960866,0.0
600.0,294.98784677959276,294.9834061648872,294.88336462482613,294.6256312984931,0.0
660.0,294.63249849870834,294.63322717255653,294.5902833633349,294.47445782473943,0.0
720.0,294.62636620669116,294.62120584633453,294.62319646337625,294.68695456596123,0.0
780.0,294.97391903928605,294.97873508666333,295.0510314893001,295.2730616290511,0.0
840.0,295.45359445491715,295.4571347944848,295.5385502193275,295.8450273487723,0.0
900.0,296.047960775331,296.05937747799015,296.14391882939503,296.4933117644352,0.0
960.0,296.5074912565573,296.50244550197635,296.5701203019172,296.7093641304441,0.0
1020.0,296.57375441225435,296.5691042855261,296.5909877441506,296.6212678407084,0.0
1080.0,296.4324396561404,296.4460816027083,296.3746532851261,296.2626899967776,0.0
1140.0,296.01044792624964,296.00048670109544,295.9063397063457,295.66158273205593,0.0
1200.0,295.4798586370358,295.4753310229641,295.38631890478285,295.09755998815433,0.0
1260.0,294.99925051058204,294.9891627736614,294.9434032856063,294.7497084894234,0.0
1320.0,294.8674154868077,294.8677769297469,294.85816136794034,294.84195332474275,0.0
1380.0,295.04513269149516,295.05003941819774,295.1143313105287,295.24735039741745,0.0
1440.0,295.5315916825557,295.5391304979815,295.6551129838028,295.88224524136365,0.0
1500.0,296.1585798056941,296.1685377325575,296.2458534085977,296.50361811016296,0.0
1560.0,296.5661705066065,296.5723853379024,296.60842412455094,296.74785739485503,0.0
1620.0,296.7419204591712,296.7465827364565,296.8136055296164,296.91433799025856,0.0
1680.0,296.7768702964076,296.7855472366391,296.7701525071689,296.663434547832,0.0
1740.0,296.3626363937759,296.37216099764356,296.2639751351372,295.9705370104321,0.0
1800.0,295.77784022683215,295.7722808582153,295.6632452013735,295.3670577549684,0.0
1860.0,295.26547266690534,295.26626731907913,295.2194981886289,294.9626672659626,0.0
1920.0,294.9899374550229,294.9837967687586,294.9270033150585,294.74145185059825,0.0
1980.0,294.9422820996876,294.94756282458223,294.9425488338359,295.02442500237134,0.0
