time,$x$,$\dot{x}$,$z$,$\dot{z}$,u_0,u_1
0.0,0.4694017216734292,0.1735095473156163,0.2502729378149374,0.2569310430770718,0.0655520088941497,-0.7449361149663831
0.1,0.4867526764049908,0.18057274845751714,0.2759660421226446,0.1852088761342432,0.3236580175544379,-0.16353127991207117
0.2,0.5048099512507426,0.21705916693273014,0.2944869297360689,0.17094469218964703,0.7510955604622909,-0.39331827794657803
0.30000000000000004,0.5265158679440156,0.2860917689824365,0.31158139895503356,0.12909118402642314,-0.8056354656226961,0.22107324792567873
0.4,0.5551250448422592,0.20798018234125087,0.32449051735767587,0.15305470344814257,-0.6588445661310485,-0.8104514455361953
0.5,0.5759230630763843,0.14110084456441596,0.33979598770249014,0.07011278475419598,-0.9391145991931751,-0.2833023985165031
0.6000000000000001,0.5900331475328259,0.04978922659920128,0.34680726617790975,0.04208647232060378,-0.31964824833573835,-0.6585405520827283
0.7000000000000001,0.595012070192746,0.012310451936941337,0.3510159134099701,-0.0257065048128393,0.6121827227827683,-0.25517970882770014
0.8,0.5962431153864401,0.07236929766028669,0.3484452629286862,-0.05236186344082621,0.8524394216761144,0.1697218099540101
0.9,0.6034800451524688,0.1606923024476502,0.3432090765846036,-0.031229995605128066,0.3659632078974182,-0.5348598885124343
1.0,0.6195492753972338,0.19610642682472093,0.34008607702409077,-0.08547732883062768,-0.03016444140057528,-0.9290195753248662
1.1,0.639159918079706,0.19333390524380126,0.331538344141028,-0.17791711146922284,0.3908405816182252,-0.8764744280479404
1.2000000000000002,0.6584933086040861,0.22931983534446562,0.3137466329941057,-0.264382895089338,0.7465515618866345,-0.0632799671967681
1.3,0.6814252921385326,0.30435117698177505,0.2873083434851719,-0.26625852382943144,0.6272694568224844,0.016898202264546303
1.4000000000000001,0.7118604098367102,0.36539155275524754,0.2606824911022288,-0.2636100493990816,0.2164322427890204,0.3984573910911262
1.5,0.7483995651122349,0.3878618555789247,0.23432148616232062,-0.22293036994152388,-0.9789446465812712,-0.6547859088515429
1.6,0.7871857506701274,0.28558262579540794,0.21202844916816824,-0.2856963364426911,-0.8930618321369892,0.5095147567744918
1.7000000000000002,0.8157440132496682,0.19092247167151788,0.18345881552389912,-0.2342789332650328,0.09965469545640615,-0.5309318497242836
1.8,0.8348362604168199,0.20147552466718247,0.16003092219739584,-0.2886589824761482,0.5110865869891494,0.4618429110246396
1.9000000000000001,0.8549838128835382,0.25273942436624725,0.13116502394978102,-0.2406391718779789,0.9214279185224028,-0.38377136578786586
2.0,0.8802577553201629,0.34383777717509517,0.10710110676198313,-0.28245817939739354,-0.6936450482158145,-0.583121944606487
2.1,0.9146415330376725,0.27458575237781796,0.07885528882224377,-0.3380334961968959,0.47731661532018865,0.9791796952062384
2.2,0.9421001082754543,0.3198685925310536,0.04505193920255418,-0.24044091509733773,-0.5860229485129176,0.6383581798674789
2.3000000000000003,0.9740869675285597,0.2544223831038947,0.02100784769282041,-0.17304309124460387,-0.05343385652949406,-0.15242361280732752
2.4000000000000004,0.9995292058389492,0.25084142949932986,0.0037035385683600215,-0.18155754776029895,0.8354019272561117,0.0008425479544991177
