time,$x$,$y$,$z$,u_0
0.0,1.6863420111353875,0.9241329897324269,17.60036303166836,25.323434411682104
0.005,1.648503885794694,1.1337732526415303,17.373537443813667,25.323434411682104
0.01,1.6221134098396155,1.342584716036749,17.15168522314722,25.323434411682104
0.015,1.6077778403134233,1.550091530004332,16.93439506204897,25.323434411682104
0.02,1.6050345828865038,1.7580728523387998,16.72186309107491,25.323434411682104
0.025,1.6123486047560587,1.9674564303471382,16.513529026733497,25.323434411682104
0.03,1.6309200179712788,2.1764580583470585,16.307995593772876,25.323434411682104
0.035,1.6570947725651268,2.3876850407543357,16.108878443173865,25.323434411682104
0.04,1.693582825310453,2.601497256551664,15.913209132027678,25.323434411682104
0.045,1.7389140114634607,2.8172437562282178,15.723238747813566,25.323434411682104
0.05,1.79155174912625,3.0371055478192233,15.537795073626466,25.323434411682104
0.055,1.8543650188922913,3.2601253978222933,15.358752967502342,25.323434411682104
0.06,1.9255178831793325,3.487070788948441,15.18529198416518,25.323434411682104
0.065,2.0035126472345364,3.7193035666658583,15.01535055697845,25.323434411682104
0.07,2.089247834593621,3.9571253935822557,14.85257486698361,25.323434411682104
0.075,2.181860663944466,4.201649224975196,14.694946735781361,25.323434411682104
0.08,2.28212491231732,4.451794278439448,14.545477603583892,25.323434411682104
0.085,2.3902270932162617,4.708585964003892,14.401368433948607,25.323434411682104
0.09,2.5053323729190287,4.973317418712362,14.265453241042893,25.323434411682104
0.095,2.628589024924155,5.247240895691085,14.13710806852841,25.323434411682104
0.1,2.7606887971932066,5.529519029929746,14.018529722492556,25.323434411682104
0.105,2.898795951795567,5.820517799421367,13.9087028183033,25.323434411682104
0.11,3.045208482827049,6.122156513732118,13.807404390010293,25.323434411682104
0.115,3.1989199214453077,6.43380056788875,13.717670232194829,25.323434411682104
0.12,3.3605689894600173,6.7569797134741885,13.637254771459618,25.323434411682104
0.125,3.5300463687968717,7.091088481556408,13.568882538095373,25.323434411682104
0.13,3.707266301189428,7.436428638081805,13.514062208045845,25.323434411682104
0.135,3.8942432358391885,7.794344281094754,13.471099882141635,25.323434411682104
0.14,4.08989226921773,8.163543354724073,13.443757881615182,25.323434411682104
0.145,4.292795348804475,8.547469139938261,13.43244532355325,25.323434411682104
0.15,4.505095600756753,8.943243885809823,13.436981712119255,25.323434411682104
0.155,4.728668621298385,9.35418117830896,13.458298436839343,25.323434411682104
0.16,4.9611292275041174,9.777595918710096,13.499814512598418,25.323434411682104
0.165,5.202267753675829,10.214444517986559,13.563288643541368,25.323434411682104
0.17,5.452009141554594,10.666246081598828,13.648413964585155,25.323434411682104
0.17500000000000002,5.713357787947783,11.130627297643763,13.756950354162353,25.323434411682104
0.18,5.984032362893026,11.608659575727375,13.890245198607683,25.323434411682104
0.185,6.266287180135771,12.100219765244562,14.05165370749836,25.323434411682104
0.19,6.558521514412154,12.604071781359597,14.243648522021095,50.07144734775238
0.195,6.860190435682234,13.242881763858872,14.468186307461105,50.07144734775238
0.2,7.179567830723615,13.890500083257855,14.730548282352888,50.07144734775238
0.20500000000000002,7.514159707473555,14.547729114589005,15.033860511349737,50.07144734775238
0.21,7.865141116857506,15.212870315803455,15.380085751914864,50.07144734775238
0.215,8.232917148989785,15.883452283165921,15.772473405681627,50.07144734775238
0.22,8.61457792087682,16.557417672198987,16.216418724962317,50.07144734775238
0.225,9.013427679340154,17.232619013036533,16.71260531169386,50.07144734775238
0.23,9.424916798524487,17.905300366056718,17.26637172263373,50.07144734775238
0.23500000000000001,9.849867403116487,18.572500806063335,17.878605151917974,50.07144734775238
0.24,10.285640075181956,19.22913016039918,18.554454681455518,50.07144734775238
0.245,10.732515839775186,19.869187389822894,19.29605259828893,50.07144734775238
0.25,11.189826274886341,20.484971268050632,20.10465516251513,50.07144734775238
0.255,11.65551591018937,21.07359342461643,20.981953907178312,50.07144734775238
0.26,12.1260211302213,21.627839532757864,21.929911309966567,50.07144734775238
0.265,12.59998956432087,22.13739353076806,22.948962634031343,50.07144734775238
0.27,13.076534093067457,22.59615628404929,24.038635762816316,50.07144734775238
0.275,13.553415813680067,22.99146653915293,25.19519679352957,50.07144734775238
0.28,14.025115707413816,23.31830076132523,26.418888996721577,50.07144734775238
0.28500000000000003,14.489914566974857,23.563166989992443,27.702735502536562,50.07144734775238
0.29,14.943521879218551,23.71549231314635,29.041067636975605,50.07144734775238
0.295,15.381861677615172,23.77007241439787,30.42603206075708,50.07144734775238
0.3,15.800923097385255,23.71399233972594,31.84878247496027,50.07144734775238
0.305,16.197654063449118,23.541533749275747,33.29771224172394,50.07144734775238
0.31,16.564332577835586,23.243521785156577,34.760682578790906,50.07144734775238
0.315,16.898326520403646,22.81765045097502,36.22345414230485,50.07144734775238
0.32,17.19289150384608,22.257753930240078,37.668084956987045,50.07144734775238
0.325,17.446984019084066,21.565519686439675,39.07854417601825,50.07144734775238
0.33,17.655105147916423,20.740712565557814,40.43894155834625,50.07144734775238
0.335,17.807459226549696,19.78917860133096,41.73098571419972,50.07144734775238
0.34,17.90578862092618,18.717798364775227,42.93702680925732,50.07144734775238
0.34500000000000003,17.947356778544297,17.535997739720685,44.039972457276555,50.07144734775238
0.35000000000000003,17.9277986247225,16.258506944299498,45.02660804464684,50.07144734775238
0.355,17.8453848759292,14.901650251607867,45.88217354995989,50.07144734775238
0.36,17.699185835926087,13.48168329775155,46.599778338557854,50.07144734775238
0.365,17.487964047720844,12.018040751270698,47.17202254706689,50.07144734775238
0.37,17.21446233787342,10.53250169196892,47.59392321450684,50.07144734775238
0.375,16.879703373582924,9.043144105828555,47.866107113390974,50.07144734775238
0.38,16.48779619028948,7.571088759148361,47.99062480292155,50.07144734775238
0.385,16.041102387459375,6.13609058676035,47.97536156921348,50.07144734775238
0.39,15.54591097978634,4.754712586547326,47.82769103354886,50.07144734775238
0.395,15.007738353033094,3.441120191346393,47.55956789817666,50.07144734775238
0.4,14.42937932194731,2.2054145374245744,47.18387570869839,50.07144734775238
0.405,13.817844340713721,1.0601171472864284,46.71346724736939,50.07144734775238
0.41000000000000003,13.179787114381659,0.012619425381834803,46.163392998375365,50.07144734775238
0.41500000000000004,12.52163452298363,-0.9337313946025624,45.54915091626827,50.07144734775238
0.42,11.848485389353419,-1.7773438273321078,44.88311005303657,50.07144734775238
0.425,11.168228041497585,-2.5191768063335984,44.178629241490995,50.07144734775238
0.43,10.483106783784361,-3.157713400008197,43.448606016731006,50.07144734775238
0.435,9.801050911573002,-3.7016766466302125,42.702964865323416,50.07144734775238
0.44,9.124918779160662,-4.154006059453878,41.95309619799519,50.07144734775238
0.445,8.461226403608539,-4.521174199749396,41.20382952674782,50.07144734775238
0.45,7.812092196790715,-4.807976029985392,40.461623209056796,50.07144734775238
0.455,7.181355348305178,-5.019803633214511,39.733601164363236,50.07144734775238
0.46,6.571102200480512,-5.165410607571172,39.021902574875014,50.07144734775238
0.465,5.984581515800309,-5.252339680348075,38.33315673296458,50.07144734775238
0.47000000000000003,5.421635370226702,-5.2842074105600885,37.66433126436923,50.07144734775238
0.47500000000000003,4.887096301441139,-5.270590550515397,37.019605455968716,50.07144734775238
0.48,4.381419489544909,-5.21363691428328,36.39741031913393,50.07144734775238
0.485,3.9018163386453657,-5.121826665436084,35.79637969857179,50.07144734775238
0.49,3.450775579137124,-4.997743973614771,35.21920866038686,50.07144734775238
0.495,3.0292290320072963,-4.8468795793544945,34.663075343650775,50.07144734775238
0.5,2.6358631272624096,-4.6723267361383645,34.12861417017897,50.07144734775238
0.505,2.2705765122228545,-4.477758676202039,33.61087868975307,50.07144734775238
0.51,1.9321566576702298,-4.268581955746293,33.11158172076894,50.07144734775238
0.515,1.6226994628083196,-4.044240606650529,32.62895383960666,50.07144734775238
0.52,1.339497207347827,-3.8093728920941694,32.16140832882462,50.07144734775238
0.525,1.0822477447934538,-3.568266939620776,31.70711412108852,50.07144734775238
0.53,0.8499110789371219,-3.31996241905827,31.26510075598462,50.07144734775238
0.535,0.640280566412079,-3.067324778463957,30.833563938683156,50.07144734775238
0.54,0.4544163453470309,-2.8109452851851895,30.41293981191341,50.07144734775238
0.545,0.29075750217571705,-2.5517763107188145,30.001073503686165,50.07144734775238
0.55,0.14903322874493333,-2.2913840475057716,29.59771295422401,50.07144734775238
0.555,0.02660889860019315,-2.0308705141125003,29.20083616341498,50.07144734775238
0.56,-0.07641718672754316,-1.7699962182964262,28.810721013734742,50.07144734775238
0.5650000000000001,-0.16130888547141495,-1.5093061811825175,28.4289099062162,50.07144734775238
