time,$x$,$\dot{x}$,u_0
0.0,-0.5900176850477608,-0.3317509126364413,0.0
0.05,-0.6062977071618928,-0.3168258401662864,0.0
0.1,-0.621808227076123,-0.3009512739880607,0.0
0.15000000000000002,-0.6365675305819373,-0.28366722367584296,0.0
0.2,-0.6503748130887154,-0.2653419390813996,0.0
0.25,-0.6631773496018423,-0.24420441923850214,0.0
0.30000000000000004,-0.6749587125666414,-0.2231300745894777,0.0
0.35000000000000003,-0.6855356649552308,-0.195693511263399,0.0
0.4,-0.694796417615532,-0.1691003802818173,0.0
0.45,-0.7026429112765209,-0.13888313506156155,0.0
0.5,-0.7089767357863546,-0.10864039234521947,0.0
0.55,-0.7137214579868293,-0.07590162902805775,0.0
0.6000000000000001,-0.7168926893127211,-0.042045496285915696,0.0
0.65,-0.7184161871052077,-0.01064437637746141,0.0
0.7000000000000001,-0.7183646347325832,0.02316524785481343,0.0
0.75,-0.7164594500853969,0.06010400435527247,0.0
0.8,-0.712628439201088,0.10001674307915284,0.0
0.8500000000000001,-0.7067865083869493,0.14059598569816237,0.0
0.9,-0.6990503811330394,0.17800042498564086,0.0
0.9500000000000001,-0.6893708082663093,0.2165934148643234,0.0
1.0,-0.6778100933980543,0.25609483497030294,0.0
1.05,-0.6641341673972334,0.2980390359229155,0.0
1.1,-0.6483196974953532,0.3452207148537542,0.0
1.1500000000000001,-0.6301444243962475,0.39169368437864954,0.0
1.2000000000000002,-0.6095903361120321,0.4409777520163915,0.0
1.25,-0.5865072097049616,0.4911089705543779,0.0
1.3,-0.5608491170138663,0.5449068771533746,0.0
1.35,-0.5324630412411242,0.6037172115243478,0.0
1.4000000000000001,-0.5011510493091784,0.6643401186247435,0.0
1.4500000000000002,-0.4667394915200485,0.7264482631624817,0.0
1.5,-0.4290976181336688,0.7943240489076213,0.0
1.55,-0.3879269969998586,0.8660870065454921,0.0
1.6,-0.3430116759498168,0.9467015273878824,0.0
1.6500000000000001,-0.2940285314952065,1.0285698055991153,0.0
1.7000000000000002,-0.24083673471594053,1.117214590488163,0.0
1.75,-0.18299960238130925,1.2139621128492235,0.0
1.8,-0.12037286074099278,1.3142410867737442,0.0
1.85,-0.05260648152415016,1.4184904931714866,0.0
1.9000000000000001,0.020467150060706468,1.529035689739049,0.0
1.9500000000000002,0.0991812557374874,1.6426544200039055,0.0
2.0,0.18372258428410038,1.761998177601257,0.0
2.0500000000000003,0.27423453084430083,1.881420189367505,0.0
2.1,0.37069981678353275,1.9964042132617204,0.0
2.15,0.47269777047072514,2.1051501679144593,0.0
2.2,0.5799374561406044,2.1999934991906085,0.0
2.25,0.6914863481784741,2.271965919318849,0.0
2.3000000000000003,0.8060983005992588,2.314407281497381,0.0
2.35,0.9220936272276857,2.3213166352279857,0.0
2.4000000000000004,1.037575585655473,2.284896665299836,0.0
2.45,1.1502682377706974,2.2001928488138933,-0.0
2.5,1.2579287809339035,2.069938398142047,-0.0
2.5500000000000003,1.3581989749436776,1.899951696476652,-0.0
2.6,1.4493508867616762,1.70066073276912,-0.0
2.6500000000000004,1.5300407276101353,1.4804495768896628,-0.0
2.7,1.5996338408284696,1.2580842505889633,-0.0
2.75,1.6579777605307673,1.0299427704082902,-0.0
2.8000000000000003,1.705142797052334,0.8182900067203991,-0.0
2.85,1.7420361433780989,0.6222509418398653,-0.0
2.9000000000000004,1.7696246529072839,0.44969133472971734,-0.0
2.95,1.7889953688882205,0.298331760992561,-0.0
3.0,1.801284171751203,0.17154421127171496,-0.0
3.0500000000000003,1.8075787432749233,0.05813449652001994,-0.0
3.1,1.8084739924043556,-0.03622603337283603,-0.0
3.1500000000000004,1.8050386611262428,-0.11587788126056245,-0.0
3.2,1.79781724877835,-0.18428557242875804,-0.0
3.25,1.7875185708729382,-0.238045051742432,-0.0
3.3000000000000003,1.7746679430212309,-0.2808642182223261,-0.0
3.35,1.7597844213618679,-0.3233120031091523,-0.0
3.4000000000000004,1.742932661239046,-0.35621156380412916,-0.0
3.45,1.7244698945039156,-0.3887308517414508,-0.0
3.5,1.7044386383128884,-0.4193084115574025,-0.0
3.5500000000000003,1.682993073859673,-0.4436826787528081,-0.0
3.6,1.6604110080402794,-0.4649169453260216,-0.0
3.6500000000000004,1.6367475675801204,-0.48454731350872676,-0.0
3.7,1.611949488987876,-0.5108069878597865,-0.0
3.75,1.5859799836549848,-0.5316598250232205,-0.0
3.8000000000000003,1.5590667568784644,-0.548709998134429,-0.0
3.85,1.5312350836601096,-0.5687675491982327,-0.0
3.9000000000000004,1.5023677328870078,-0.5891298735299532,-0.0
3.95,1.4724954112628112,-0.6098096724910066,-0.0
4.0,1.441714722737736,-0.6261468540513622,-0.0
4.05,1.4099362073892843,-0.6496514170407337,-0.0
4.1000000000000005,1.3769835086848161,-0.674633153158109,-0.0
4.15,1.3428291931723457,-0.6961235677401315,-0.0
4.2,1.3075126263916694,-0.7232276469673307,-0.0
4.25,1.2708607059118309,-0.7514085197826578,-0.0
4.3,1.2326891698463998,-0.7840859433277357,-0.0
4.3500000000000005,1.192802410919592,-0.8180483324635548,-0.0
4.4,1.151156594638793,-0.8535680894750628,-0.0
4.45,1.1076888046589617,-0.8939304605802129,-0.0
4.5,1.0621751069234326,-0.9364740758032088,-0.0
