time,$T_1$,$T_2$,$T_{wall}$,$T_{out}$,u_0
0.0,297.29206946175645,295.38312018454286,294.0772012060801,295.1779702509604,1.0
60.0,356.8708126508078,354.2436442357954,334.4448592200059,295.07488618984746,1.0
120.0,368.662224865252,366.031934614834,343.1464330017632,295.36149681455686,1.0
180.0,371.3151458709972,368.67876178811554,345.2295456530508,295.8997523754657,1.0
240.0,372.365195665721,369.72936912667245,346.1617301665765,296.5433312249892,1.0
300.0,372.874811308593,370.24104481434705,346.616523647197,296.86761772136055,1.0
360.0,373.2088132792317,370.5737186647146,346.8625651059285,296.8594979819555,1.0
420.0,373.0528288427253,370.42548393516677,346.7115638646285,296.6014906145185,1.0
480.0,372.7001188567766,370.0583407307592,346.32582859492646,296.10597185002786,1.0
540.0,372.15681797671874,369.5229379553491,345.77068915829994,295.52277165682614,1.0
600.0,371.67397222585083,369.04890166077007,345.278922207681,295.0585784355922,1.0
660.0,371.35745547108615,368.73235190476447,345.0267483179844,294.92058025925104,1.0
720.0,371.35935459789476,368.73302383375983,345.0447473761622,295.05862379184566,1.0
780.0,371.64159201065826,369.0061578963931,345.3925465785216,295.6299706029785,1.0
840.0,372.1323741249427,369.5056418201845,345.90935116105106,296.14971547215174,1.0
900.0,372.6251338109471,369.9913602604602,346.390562358404,296.605717954248,1.0
960.0,373.0208219517832,370.3877193305441,346.74243804602236,296.8715032806852,1.0
1020.0,373.0395241144777,370.4047699378899,346.74060044899164,296.7406636425541,1.0
1080.0,372.783101737327,370.13902728752913,346.3914331879023,296.2090364780798,1.0
1140.0,372.35051192286414,369.7129436709898,345.9359859659155,295.6424626893724,1.0
1200.0,371.72780432710874,369.0943985540194,345.3202621671038,295.061933870293,1.0
1260.0,371.28180767888983,368.63966614404103,344.9373833233682,294.77581878005446,1.0
1320.0,371.1800221997285,368.55290242174846,344.8527366792956,294.83352175276434,1.0
1380.0,371.34972228734017,368.7185188458678,345.07742712223967,295.22082007587863,1.0
1440.0,371.7587205464165,369.14727346034346,345.52904615074215,295.7670807210067,1.0
1500.0,372.24861153756666,369.6150873255432,345.98972641268006,296.2121450891257,1.0
1560.0,372.5989917475594,369.96430573433867,346.3266276489865,296.4677156127246,1.0
1620.0,372.73145333427703,370.08871737029835,346.42395120176514,296.4824372760841,1.0
1680.0,372.6003619948503,369.9815998020256,346.2671882421427,296.1450078719493,1.0
1740.0,372.10882952080385,369.480270330244,345.6974737796811,295.37292109602527,1.0
1800.0,371.46688714765196,368.839669601571,345.0200766924425,294.7076151104418,1.0
1860.0,370.8936204077216,368.2448878086282,344.48993723632094,294.2442336183648,1.0
1920.0,370.56873295711034,367.9461151442461,344.2614845302835,294.17938798134895,1.0
1980.0,370.7100796398228,368.0787375173228,344.4278262681991,294.5155896580817,1.0
2040.0,370.93797422093985,368.31501801362106,344.6980580680124,294.86737837259,1.0
2100.0,371.4603964288409,368.82590996643114,345.25937505634136,295.5423122978328,1.0
2160.0,371.946849685537,369.3071498166819,345.73962726180133,295.98286388807145,1.0
2220.0,372.3151304677163,369.6797650064105,346.0382786609084,296.139722219512,1.0
2280.0,372.4072760466489,369.7804160910966,346.0652575075739,296.02892866367506,1.0
2340.0,372.0995847085665,369.4602922213969,345.73556781508904,295.608138808949,1.0
2400.0,371.6897661631907,369.06001695708306,345.3010449969887,295.0196792467449,1.0
2460.0,371.1766114592316,368.53669128992766,344.8058847001841,294.6110017440097,1.0
2520.0,370.8530526620684,368.22481734064615,344.5372503161072,294.4320662965515,1.0
2580.0,370.8385519827811,368.2029539099563,344.51821576874374,294.48970734874894,1.0
2640.0,370.9456700325856,368.3173781236567,344.65999454765864,294.7650628880022,1.0
2700.0,371.18956832081363,368.57360765556575,344.9389967623879,295.17734102149063,1.0
2760.0,371.7357049311803,369.10325167885713,345.50219275669906,295.75028672359986,1.0
2820.0,372.14509389487273,369.51277393849267,345.9040186489706,296.0421100375085,1.0
2880.0,372.35517307701764,369.72121722838295,346.0395979684971,296.0737728147737,1.0
2940.0,372.1942931878682,369.57805443384194,345.8151734086329,295.66673324128953,1.0
3000.0,371.7344677680326,369.1002664254118,345.3421882424424,295.09121506648364,1.0
3060.0,371.19069055960955,368.5613548783515,344.8056964071646,294.4832035657682,1.0
3120.0,370.6475644358877,368.0003835685816,344.2368075096653,293.9553525838599,1.0
3180.0,370.28742417929544,367.6464018440183,343.93316056193953,293.83702376255326,1.0
3240.0,370.2129915309429,367.58928905292396,343.89189395409335,293.95118173792804,1.0
3300.0,370.45623448934106,367.8352252398168,344.21074235468444,294.4258827229326,1.0
3360.0,370.9973553418597,368.3547194093067,344.7628491977508,295.0680451293276,1.0
3420.0,371.6165918839106,368.9750847038222,345.3848208981901,295.641470592566,1.0
