time,$\theta$,$\omega$,u_0
0.0,2.7473812513032474,-0.3953308432391103,0.46062243578151385
0.05,2.7244270769842944,-0.5569122772765132,1.2539251815720014
0.1,2.6938279058159704,-0.6972108521458728,0.33290996304580567
0.15000000000000002,2.6550426816076658,-0.8963823592721472,1.8777588032352808
0.2,2.6074851107933137,-1.0355529902072473,2.127958737802543
0.25,2.552876337056312,-1.1813216420177457,-1.9357624842388497
0.30000000000000004,2.486501637111245,-1.5519449791365933,-1.617467792586006
0.35000000000000003,2.4013742174966928,-1.936388799446119,-2.9825488144860977
0.4,2.2950328280593504,-2.418145642323808,-2.3289527225617457
0.45,2.164546064474377,-2.9049113334068495,1.1998913967223102
0.5,2.0125996250678906,-3.2477923726553852,0.22223551008328069
0.55,1.8418021963379132,-3.674847979133752,-0.09095376578214442
0.6000000000000001,1.6489017926716314,-4.136953551818887,1.2459819171513389
0.65,1.433899372143901,-4.5445950599179294,0.854088909160591
0.7000000000000001,1.198323660906509,-4.954578015893286,-0.7392704723715648
0.75,0.9414249359158369,-5.400711823465944,0.6584254552824127
0.8,0.665000185178527,-5.701780181243229,-1.3761164568473239
0.8500000000000001,0.37349724073170787,-5.997742717881957,-2.669335624733888
0.9,0.06852822875668702,-6.223148671757777,-2.0452595183061595
0.9500000000000001,-0.2441112915396484,-6.267459371937025,0.30760823123924763
1.0,-0.5536341501177287,-6.047967059332531,-1.6645602246755817
1.05,-0.8514649867083313,-5.797409487906807,-0.6838457341756106
1.1,-1.1336687183378542,-5.398532601050702,-0.7983680054511304
1.1500000000000001,-1.3948806013167516,-4.954770110499792,2.4493964451611117
1.2000000000000002,-1.6300076090254465,-4.3204897927383055,-2.2894473058044107
1.25,-1.8381455052175648,-3.929987786777495,-0.17886592366260312
1.3,-2.0249856860233506,-3.456417594214206,-1.4331222742992038
1.35,-2.1902160019799264,-3.0865825916666845,-1.1296362408445488
1.4000000000000001,-2.3375980883941643,-2.7447491847283882,-2.3644690732108993
1.4500000000000002,-2.470096664189443,-2.5168939699428727,-0.1411945862538817
1.5,-2.5899553766983816,-2.2274328710261813,0.30959018678364303
1.55,-2.6957458563157584,-1.9623223028282328,2.283276202564965
1.6,-2.787467995551467,-1.648520438104856,-2.6079970137695723
1.6500000000000001,-2.8691105208634884,-1.6168496992870471,-0.9364898222744031
1.7000000000000002,-2.9481739885471065,-1.5365813572277904,0.6293839314298002
1.75,-3.022460120446494,-1.4177782476215999,-0.9414742378294654
1.8,-3.093064431719457,-1.4109989573249309,-2.8065262428375233
1.85,-3.1659322487367554,-1.5346939785297224,2.3878153203227193
1.9000000000000001,-3.2405130394159634,-1.4358218183517155,-1.0989860657498305
1.9500000000000002,-3.3143814164947787,-1.5449613533026543,1.398807312431315
2.0,-3.391864752723095,-1.5634186620187869,-2.5774869627980546
