time,$\theta$,$\omega$,u_0
0.0,2.0261306453695935,-0.14034063367889382,1.4897385668022016
0.05,2.011675738581962,-0.510154251164918,-0.42093606119987115
0.1,1.9768421911940237,-0.9748832449836935,1.7620368419185344
0.15000000000000002,1.9209791705395989,-1.3326876881519445,1.821990144643517
0.2,1.8469718234289825,-1.701762860040987,0.8492324161187583
0.25,1.7533846937667208,-2.127380625248427,-2.1743639181214096
0.30000000000000004,1.6353105876493619,-2.712358959216528,-0.6450693774485357
0.35000000000000003,1.4895501620805975,-3.2227262353895068,2.895645198031088
0.4,1.321879184598225,-3.545275134357044,1.6206880625007516
0.45,1.1371366063057962,-3.9103549053425053,0.7540656757177944
0.5,0.9340490477397495,-4.277253897138126,-1.1392756391753476
0.55,0.711863057792298,-4.677942807449052,2.2110569999505074
0.6000000000000001,0.4746492710600498,-4.825599323485512,2.382739489890411
0.65,0.23214299222102058,-4.866349520271026,0.8464975301242574
0.7000000000000001,-0.01159576199831959,-4.863196016058853,1.1598042438762366
0.75,-0.25240150277942064,-4.724093163490663,2.617221303143654
0.8,-0.48269853948954006,-4.40641641538503,-1.7259345034653133
0.8500000000000001,-0.6994605059762008,-4.211009067128927,-2.28937644680963
0.9,-0.9051773908182944,-3.9557640644525693,0.5887045211565509
0.9500000000000001,-1.0940330817058022,-3.500632630427553,1.4949476258338432
1.0,-1.25833098244464,-2.958735373695799,-0.630786611437725
1.05,-1.3972553704525614,-2.5052281083571595,-0.40324848505980326
1.1,-1.512992346408391,-2.0245274742873334,-1.2181133674868565
1.1500000000000001,-1.605537318653726,-1.5894496179122188,-1.8155011153902227
1.2000000000000002,-1.676880503215259,-1.1846728224250327,-1.3469297481312692
1.25,-1.7275842371116634,-0.75942913218909,-1.5268423800728268
1.3,-1.7572523976128134,-0.34703778134047225,-0.8070019196343412
1.35,-1.7657473880174632,0.09326805343252116,0.7446945554197839
1.4000000000000001,-1.750681061925789,0.612828044365919,-0.08691347430317031
1.4500000000000002,-1.7104669673817827,1.0880140443068278,1.1529439789561058
1.5,-1.6452644583290745,1.6267058576718556,-2.053715722325852
1.55,-1.5564403663389463,2.0040107048745717,0.985759962048633
1.6,-1.4457022312829988,2.5305716277281856,1.4780079475417085
1.6500000000000001,-1.3082374655032778,3.0720119150468888,0.9739665353208482
1.7000000000000002,-1.1445271263185208,3.5700970828062033,0.586944904691324
1.75,-0.9570152145888094,4.011482501140588,0.5999118350171768
1.8,-0.7484920518130539,4.395344420691158,2.5340812515849986
1.85,-0.5203036890112099,4.798007712157731,-0.6990008468581825
1.9000000000000001,-0.27705184537039335,4.941999092686468,2.0028271919566722
1.9500000000000002,-0.02632673682130516,5.099022171433921,-1.7741279693203142
2.0,0.22612537926182547,4.9493091439444985,2.0870975477558895
2.0500000000000003,0.4724498969204694,4.871010181132615,1.8945205454901664
2.1,0.7126294389896091,4.683496054999051,-0.8746166621220477
2.15,0.9387409659849355,4.263040244115338,2.777707809359156
2.2,1.1461507616069206,3.9635238148903085,-2.657369451702859
2.25,1.3323135634212258,3.3542782031422296,1.3029378143940324
2.3000000000000003,1.49130961653888,2.9188140823942774,2.7471999574417842
2.35,1.6298984299179442,2.5506082803390346,2.3105392878375066
2.4000000000000004,1.7497200864954754,2.1648957418385733,2.924761037472007
2.45,1.851083106648073,1.8238948964441222,-0.7398308708474461
2.5,1.9319557112055568,1.3122817347195013,0.1960168463652705
2.5500000000000003,1.9885520293566175,0.8630794967009436,0.1600297018607566
2.6,2.022821128611907,0.42139425465657254,0.8572454956154385
2.6500000000000004,2.0358290522722577,0.02264891001746755,-0.07991984560499121
2.7,2.0280776351397405,-0.42024864066451945,-0.7135383619217806
2.75,1.9976046854529186,-0.8960648719973614,1.5305577584727093
2.8000000000000003,1.9454283917396773,-1.2638674783107622,-2.107158529285579
2.85,1.8710926511468726,-1.8216325749259457,0.0200796498057787
2.9000000000000004,1.7708336542627436,-2.2825010880933916,-0.36681147951417215
2.95,1.6470003895872245,-2.773163883305643,-2.0175928901079865
3.0,1.496790526101497,-3.3476812205860265,1.6546325414735887
3.0500000000000003,1.3216257921261212,-3.735287900496071,-1.2685573117676958
3.1,1.124561273694832,-4.2411366293546315,-0.1880928721227455
3.1500000000000004,0.9041071120465238,-4.648476165284187,1.1403878652316568
3.2,0.6658123252870005,-4.9251468050950065,-2.3633588456025434
3.25,0.41203101471543624,-5.279028329792355,0.39387502696048426
3.3000000000000003,0.14559568870742928,-5.3795782244821,-2.4040594182578943
3.35,-0.12605089029757982,-5.4875890432428855,-2.350421242944723
3.4000000000000004,-0.40054079312822943,-5.464675671334594,-2.1199282486204245
3.45,-0.6710551786424069,-5.303169952929214,0.9023970989238719
3.5,-0.9283076067117026,-4.888801536723216,-0.01893201167923131
3.5500000000000003,-1.1640910912762141,-4.446756936299568,-2.5154054727874433
3.6,-1.3792530914348413,-4.081462485390276,-1.644763173351394
3.6500000000000004,-1.574840313790796,-3.65775131317332,2.8961327812864432
