time,$x$,$y$,$z$,u_0
0.0,-2.3974453100605615,-2.7435694772192205,21.73225231629253,0.0
0.005,-2.414607966153047,-2.80472391117464,21.4766372521865,0.0
0.01,-2.433932753590819,-2.8693710864915927,21.22230876455906,0.0
0.015,-2.4561002602645203,-2.936892916577677,20.974296801596235,0.0
0.02,-2.480551046898673,-3.008362553087498,20.731336891149507,0.0
0.025,-2.506963234030075,-3.0823228173686754,20.49145032792664,0.0
0.03,-2.5358401305576885,-3.16121735166321,20.256328909556032,0.0
0.035,-2.5675593752671206,-3.242434730757611,20.02608923952669,0.0
0.04,-2.6010838533514304,-3.328365544750617,19.801500464813845,0.0
0.045,-2.6378582857539428,-3.419278828050789,19.580835595754206,0.0
0.05,-2.6770408385780553,-3.51370841241531,19.364439649123636,0.0
0.055,-2.719179732649084,-3.6116477193682885,19.15312022271884,0.0
0.06,-2.763122512746855,-3.7130849052530746,18.946480656225265,0.0
0.065,-2.8109212325304225,-3.8195917861048745,18.74524200842774,0.0
0.07,-2.86089984850175,-3.9300225694828064,18.548960530251293,0.0
0.075,-2.9152472675627745,-4.0462089194789845,18.35853402145496,0.0
0.08,-2.9710382870203937,-4.166473424209189,18.171703947812727,0.0
0.085,-3.0302059347490773,-4.290374771247876,17.990940131454437,0.0
0.09,-3.0942362925834317,-4.421357164418409,17.81561253079188,0.0
0.095,-3.1608239476485807,-4.556303275374695,17.64607825935982,0.0
0.1,-3.231043211818686,-4.697208587467527,17.48315502910971,0.0
0.105,-3.3052587845925627,-4.843207211377827,17.325816029850213,0.0
0.11,-3.3816384201991343,-4.996122925977279,17.174486104563915,0.0
0.115,-3.462163013544243,-5.154409400769918,17.03049810800103,0.0
0.12,-3.5479810988186347,-5.318595110848223,16.89341776671993,0.0
0.125,-3.6366536982604627,-5.488998841974362,16.762084544101757,0.0
0.13,-3.729963576379729,-5.666720218076924,16.639380825764896,0.0
0.135,-3.8254513861707795,-5.850128510224673,16.52270589100145,0.0
0.14,-3.926862585614071,-6.039607861308441,16.414008985957484,0.0
0.145,-4.031112712833206,-6.237420345240705,16.31320471791668,0.0
0.15,-4.141623884107039,-6.441431647996082,16.22021918710835,0.0
0.155,-4.256087742750788,-6.653503519110758,16.13732721867336,0.0
0.16,-4.3761849181801935,-6.872063496941893,16.064344714871737,0.0
0.165,-4.501076088000126,-7.0994255858163315,16.00000111137923,0.0
0.17,-4.631001066252412,-7.332698078138138,15.947831809406868,0.0
0.17500000000000002,-4.7668739862121265,-7.576257889624526,15.90444293221334,0.0
0.18,-4.908431372759247,-7.825458595642256,15.872826272934379,0.0
0.185,-5.055942069017802,-8.082965864625812,15.853224544717104,0.0
0.19,-5.20790103704528,-8.348909883985897,15.845543499243167,0.0
0.195,-5.365560945490243,-8.624198485220802,15.852354985596781,0.0
0.2,-5.528244699981556,-8.906448750583937,15.871046456988672,0.0
0.20500000000000002,-5.697708818595329,-9.19679274879021,15.906235323966719,0.0
0.21,-5.874084706772748,-9.495923502994856,15.95627614795045,0.0
0.215,-6.054592362664265,-9.802323256698875,16.023034595817613,0.0
0.22,-6.24092589722337,-10.115467100337016,16.106868294228153,0.0
0.225,-6.433759432933519,-10.435217167980506,16.207847848641443,0.0
0.23,-6.634259503491045,-10.762289777745064,16.327245632973913,0.0
0.23500000000000001,-6.840588989878962,-11.095322872379024,16.467031903041303,0.0
0.24,-7.054049189544415,-11.433540514069088,16.62695196188271,0.0
0.245,-7.2725930887661905,-11.778169141480245,16.8077036934227,0.0
0.25,-7.498944230836325,-12.125475944954054,17.0116838461228,0.0
0.255,-7.730320007124453,-12.476746281915801,17.23948303384487,0.0
