time,$x$,$y$,$z$,u_0
0.0,1.008726052938938,2.1089997313537703,20.801909188222023,-0.0
0.001,1.0199937248592983,2.115014011838048,20.748474316770018,-0.0
0.002,1.031488529510878,2.120608589291017,20.694784569577287,-0.0
0.003,1.042118835162778,2.12545612979905,20.64242737789526,-0.0
0.004,1.0531239429795323,2.1308929751330683,20.58944964040023,-0.0
0.005,1.064363872182943,2.1363491159281183,20.536397895672984,-0.0
0.006,1.0752588544742507,2.142200223214679,20.483644344033735,-0.0
0.007,1.0863585263859281,2.1478977082182196,20.43110755400664,-0.0
0.008,1.0968375024531867,2.154664447202267,20.378620981132194,-0.0
0.009000000000000001,1.1076144414948967,2.160800084472447,20.326802329079154,-0.0
0.01,1.1185692273490095,2.1669841767317592,20.275349931091707,-0.0
0.011,1.1286982674877257,2.1727894664275875,20.223727259580013,-0.0
0.012,1.1391167175357912,2.1791375037294998,20.172365413145936,-0.0
0.013000000000000001,1.1499087579832201,2.186363863283221,20.12072991339995,-0.0
0.014,1.1602734197139473,2.1939619336178784,20.069058169852738,-0.0
0.015,1.1705472975595514,2.201122878159017,20.017381561682186,-0.0
0.016,1.1813521263853815,2.2084499332302685,19.966640228020744,-0.0
0.017,1.1913568659027907,2.2156266513792318,19.91617633993747,-0.0
0.018000000000000002,1.2017680583413646,2.2227150177447754,19.86564160595886,-0.0
0.019,1.211905635508997,2.230799444954521,19.81508585920271,-0.0
0.02,1.2220052284956906,2.238672906795611,19.764968307502315,-0.0
0.021,1.2324499410133962,2.2457119448462572,19.715159482644978,-0.0
0.022,1.2424325831581255,2.2537862752141287,19.665706821817466,-0.0
0.023,1.2526139247755097,2.2622039486461802,19.615579341364036,-0.0
0.024,1.2629996080318886,2.271217980753524,19.566023480095332,-0.0
0.025,1.2732448496433582,2.2793940823996963,19.51697866494501,-0.0
0.026000000000000002,1.2832403829882693,2.288066355483072,19.468148205662512,-0.0
0.027,1.2935149881121697,2.2970063361376383,19.418986551263277,-0.0
0.028,1.303884024189942,2.305722822522109,19.370391259275227,-0.0
0.029,1.3140855995374292,2.3149576063977997,19.321712439088316,-0.0
0.03,1.3242097488901898,2.3239023071610387,19.27266026065023,-0.0
0.031,1.333957630352708,2.3327341204655894,19.2246999372983,-0.0
0.032,1.3446851069616788,2.3421592329341885,19.17625371453065,-0.0
0.033,1.3546359630734228,2.3516461615463164,19.127964496195272,-0.0
0.034,1.365031465021843,2.3614722782841633,19.080031876725624,-0.0
0.035,1.375066004582511,2.3709423128256963,19.03185234291218,-0.0
0.036000000000000004,1.3845000317048126,2.3805868948036726,18.984325282546923,-0.0
0.037,1.393869046240663,2.3899840427101298,18.937220841670065,-0.0
0.038,1.4037178287429959,2.4003676248905546,18.889735220790286,-0.0
0.039,1.4134821632590842,2.4114938172300504,18.843049695763543,-0.0
0.04,1.4230976835293103,2.4220442155942066,18.796577471024246,-0.0
0.041,1.4330653169651144,2.432364574587217,18.749948564099558,-0.0
0.042,1.4433753790658432,2.4428705541213316,18.70346695269054,-0.0
0.043000000000000003,1.4530916024736416,2.454118298606879,18.657621410125163,-0.0
0.044,1.4628174882940628,2.4652354093500883,18.611171127231735,-0.0
0.045,1.4731122786222028,2.4759494209279227,18.56485365625708,-0.0
0.046,1.4829701711050722,2.4872523968833935,18.519089141516464,-0.0
0.047,1.4927451053217062,2.499028072344301,18.473288233989585,-0.0
0.048,1.5028021462546155,2.511342842880762,18.42768189358679,-0.0
0.049,1.5127531676249857,2.5228152588372126,18.381955386629077,-0.0
0.05,1.5229791519608689,2.5350948824569155,18.33663761722082,-0.0
0.051000000000000004,1.5330792687435462,2.5472928773563015,18.29129602347971,-0.0
0.052000000000000005,1.5433617091553504,2.559821444991429,18.24702751619077,-0.0
0.053,1.5539604652023136,2.5722748519048753,18.202260549986278,-0.0
0.054,1.564047157850497,2.5851617819669004,18.15805008876725,-0.0
0.055,1.5743052210619033,2.5978368140596384,18.113359761455385,-0.0
0.056,1.5842984402871767,2.6105059786769655,18.06924052633533,-0.0
0.057,1.5948103157321154,2.623731167301178,18.025257140985836,-0.0
0.058,1.6050592400040988,2.637121092954368,17.981302851793675,-0.0
0.059000000000000004,1.6157812004096421,2.650576264644032,17.937643828938246,-0.0
0.06,1.6264354813968116,2.664268668757324,17.89404462373501,-0.0
0.061,1.6370224390183983,2.6779941698073113,17.850586355691064,-0.0
0.062,1.6470472244821053,2.691974730314452,17.807365631564696,-0.0
0.063,1.6574269830674706,2.7063249500041624,17.764525954558472,-0.0
0.064,1.6677747864912325,2.7206670658388976,17.721650966229117,-0.0
0.065,1.678387434206063,2.734441489617152,17.678811364794328,-0.0
0.066,1.6889859611183549,2.7499994808622525,17.636367328738896,-0.0
0.067,1.699951186665456,2.764597705267675,17.593964607610097,-0.0
0.068,1.7107524206234233,2.7784784226806534,17.552011383412555,-0.0
0.069,1.7212979123619603,2.793283542991481,17.509798027478737,-0.0
0.07,1.732005462272339,2.80874879789085,17.46809569543833,-0.0
0.07100000000000001,1.742731539502416,2.824450019212027,17.426352142482454,-0.0
0.07200000000000001,1.7534491612958962,2.8403604611462536,17.384624096815244,-0.0
0.073,1.7638541698937351,2.855717215560292,17.343700809341165,-0.0
0.074,1.7752653058309518,2.87130234978372,17.302110083487282,-0.0
0.075,1.7862512117213651,2.887847322448205,17.2616956422941,-0.0
0.076,1.7971572481832183,2.904752305197697,17.22069180398983,-0.0
0.077,1.8084529575825223,2.9214029858857886,17.180220640046457,-0.0
0.078,1.820129868919212,2.9381395458288893,17.13973627969741,-0.0
0.079,1.831530962103001,2.955036254456584,17.099254953107383,-0.0
0.08,1.8421924722798144,2.9719782936398365,17.058930181907964,-0.0
0.081,1.8534156504074273,2.9894568296839097,17.019283340773395,-0.0
0.082,1.8651262914299416,3.0064818037202365,16.9788015119568,-0.0
0.083,1.8774257948653268,3.02370598976438,16.939412625007552,-0.0
0.084,1.888292676373242,3.041163808118679,16.899132799866003,-0.0
0.085,1.8993502382126024,3.0588238482578327,16.86035581038699,-0.0
0.08600000000000001,1.9105004073930276,3.0769443978204434,16.821577243361148,-0.0
0.08700000000000001,1.9218989830631772,3.0954761103839066,16.782474441868338,-0.0
0.088,1.9335511909775651,3.1138213277237425,16.743712591191475,-0.0
0.089,1.9451328125917462,3.13239717410576,16.704876694135784,-0.0
0.09,1.9575977295553535,3.151246345321634,16.66656670957121,-0.0
0.091,1.9693485527245855,3.1708715693474065,16.628162676628516,-0.0
0.092,1.9819791930903337,3.190318477713071,16.589721017117263,-0.0
0.093,1.9939470295417223,3.2101703603499483,16.552332245361143,-0.0
0.094,2.006338108225281,3.2297914572869075,16.514550575222568,-0.0
0.095,2.017903946596592,3.2495057464099757,16.476812122858576,-0.0
0.096,2.030072529181834,3.269646002659788,16.43965030720036,-0.0
0.097,2.0422691167687357,3.2901362015267575,16.40269406967232,-0.0
0.098,2.054978960414566,3.3101769817118685,16.36578634523796,-0.0
0.099,2.0676606502446138,3.3308821231123615,16.329286830919383,-0.0
0.1,2.0804628208552813,3.3515737405653345,16.292487730045114,-0.0
0.101,2.092649286967167,3.372733796441916,16.25630679862915,-0.0
0.10200000000000001,2.105813788078928,3.3940537909406143,16.220122170020353,-0.0
0.10300000000000001,2.1188024839863493,3.4154351449812563,16.183649311383565,-0.0
