time,$x$,$y$,$z$,u_0
0.0,1.2020493914273942,-2.9016665138329945,23.43866160782766,0.0
0.005,0.9971004922670845,-2.8595236455627298,23.107555884425082,0.0
0.01,0.8048208182701774,-2.8211441671423305,22.783449608330415,0.0
0.015,0.6250281935057956,-2.786876751007247,22.46867391876538,0.0
0.02,0.45431770400571253,-2.7572199734692706,22.160660913942344,0.0
0.025,0.2941175505538143,-2.7303824408761255,21.858817461709076,0.0
0.03,0.14104209512688698,-2.7075586350237617,21.563363015064983,0.0
0.035,-0.0009415532828202511,-2.689357989297592,21.273817753167933,0.0
0.04,-0.13435541560084582,-2.6757627996958178,20.990972998770662,0.0
0.045,-0.2609092190790111,-2.6656578749036663,20.712802147695495,0.0
0.05,-0.38201634496603487,-2.6621557717792026,20.439791452960304,0.0
0.055,-0.49539511060300934,-2.6632373464219152,20.171070931470407,0.0
0.06,-0.6044739260470208,-2.6693552304002637,19.907548132236712,0.0
0.065,-0.7091513437878262,-2.6810001330717106,19.650032811531794,0.0
0.07,-0.8066751211502605,-2.6955924773354525,19.39818903408349,0.0
0.075,-0.9013314748038799,-2.7172918600889404,19.1504075254724,0.0
0.08,-0.9903103266686968,-2.7429558295365837,18.907766631208144,0.0
0.085,-1.0777980329093158,-2.774193119973802,18.668645970491696,0.0
0.09,-1.1624635214451993,-2.8119288040473474,18.434227955513983,0.0
0.095,-1.2458408381990933,-2.8541786799899147,18.204102723764418,0.0
0.1,-1.326579828759641,-2.9024740090383965,17.978201621013955,0.0
0.105,-1.4052349965718913,-2.9550471152458346,17.75749571352892,0.0
0.11,-1.4813826137124066,-3.0116703108609135,17.541949682657854,0.0
0.115,-1.5573521636765386,-3.074537417957464,17.330525044527047,0.0
0.12,-1.6340180889892488,-3.140977597852881,17.12324746646355,0.0
0.125,-1.7093490074889375,-3.214451065909647,16.92239530447361,0.0
0.13,-1.7844400088267167,-3.2912661932399345,16.725452097636076,0.0
0.135,-1.858954520705926,-3.376103569406703,16.531455340321983,0.0
0.14,-1.9326196150668882,-3.46654411933672,16.342974571381305,0.0
0.145,-2.009488294936772,-3.561280413380083,16.15917932667286,0.0
