time,"$T_{air,1}$","$T_{air,2}$",$T_{wall}$,$T_{out}$,u_0
0.0,292.62902315695237,292.6479666129493,289.9366834936092,285.0,0.0
60.0,292.58267049912524,292.7557825417648,289.88277574501154,285.0299824508024,0.0
120.0,292.42835479377,292.64428246998125,289.8878442223064,285.1311297872631,0.0
180.0,292.39466575537466,292.59027904501124,289.84700263404676,285.15164970507817,0.0
240.0,292.3779812297974,292.6357788939404,289.8599765893767,285.1349017002654,0.0
300.0,292.4263500209493,292.7591552977605,289.8209154401128,285.1555596408032,0.0
360.0,292.3953630873599,292.8177204685162,289.92181902030177,285.2405024785922,0.0
420.0,292.37351309759663,292.8069208717125,289.96838204554354,285.20168091216584,0.0
480.0,292.4730490952895,292.90238112814126,289.9393192909018,285.3068355797793,0.0
540.0,292.4703394953369,293.0073372642207,290.0096516798617,285.3899680178122,0.0
600.0,292.38931558998695,293.00389617814585,290.09709597364264,285.40245073176175,0.0
660.0,292.40267342948397,293.01202346393586,290.00758131414307,285.493274736618,0.0
720.0,292.52097438905264,293.0290736268731,290.07532282042837,285.64041684669706,0.0
780.0,292.6065682963307,293.0186625333452,290.0930162646474,285.609903224901,0.0
840.0,292.56028788332304,292.99079069647877,290.1717553044645,285.8326448435548,0.0
900.0,292.6355366828934,292.9994137408687,290.1990033931327,285.9440494241205,0.0
960.0,292.56594648942433,292.95869661116797,290.10494638602415,286.0351954830075,0.0
1020.0,292.61840704499156,292.9996390677717,290.28271771425057,286.03257746442387,0.0
1080.0,292.60059887817215,293.02416029806386,290.20761287024214,286.10202714773936,0.0
1140.0,292.5767338615058,293.06617602113533,290.25631138393305,286.07990497465437,0.0
1200.0,292.53507122981466,293.0765264658051,290.2641357486224,286.0040424032415,0.0
1260.0,292.555087877598,293.06472999139334,290.27994122226346,286.00290501469453,0.0
1320.0,292.55489726689143,293.1088669667116,290.4453678991477,285.96928403206346,0.0
1380.0,292.64099377722414,292.9849877855524,290.48672230006355,285.97376430749046,0.0
1440.0,292.603851712243,292.76402203326614,290.3739601892453,285.94187916731113,0.0
1500.0,292.58705594069755,292.78577245619243,290.4771359366886,285.91146641060584,0.0
1560.0,292.415191692083,292.6394597140686,290.4524062668023,285.9210014239807,0.0
1620.0,292.41295214398275,292.53805553886366,290.376866820869,285.92859162897935,0.0
1680.0,292.4047812988285,292.7223546198954,290.42472169962275,286.12033270883273,0.0
1740.0,292.49669959156614,292.71823209085477,290.38423148286023,286.10011384452923,0.0
1800.0,292.38344164983295,292.7102204941243,290.3993323007232,285.93917028145586,0.0
1860.0,292.4027486465272,292.6452074268095,290.34275807207825,285.9544216649145,0.0
1920.0,292.5361252088364,292.6159035316918,290.3561947316906,285.931408508931,0.0
1980.0,292.470504017003,292.5403707481572,290.43370714795566,285.88526080843866,0.0
2040.0,292.43746079708444,292.4656796678661,290.4480531617898,285.82125421686516,0.0
2100.0,292.5714023383228,292.5051224835205,290.4352774217229,285.8619501206163,0.0
2160.0,292.5504160420214,292.5001446048535,290.40544596449786,285.8242008627114,0.0
2220.0,292.6988850222576,292.58737231454046,290.48693945995444,285.7609087762098,0.0
2280.0,292.7387754186998,292.58676242688944,290.4703311179845,285.72353207745533,0.0
2340.0,292.5431056002115,292.5991762577927,290.4670589107606,285.7259909200163,0.0
2400.0,292.6700875505809,292.7301780185194,290.4698216798758,285.73393290408313,0.0
2460.0,292.6642614289114,292.78961324487824,290.37237524131046,285.5840435964963,0.0
2520.0,292.60646593504913,292.8913404945169,290.3311736453143,285.4406980023492,0.0
2580.0,292.5687217794315,292.92963081203635,290.4745982690266,285.478319461912,0.0
2640.0,292.709041057012,292.9327349814664,290.4961479475688,285.4812142807978,0.0
2700.0,292.6998167703984,292.8165421844712,290.561582570761,285.37539461646134,0.0
2760.0,292.74210200130005,292.8433751397454,290.59693700769526,285.26184435587845,0.0
2820.0,292.8016709635745,292.8668286711491,290.6565473302046,285.2505323184036,0.0
2880.0,292.75929620628864,292.8415935989821,290.5522172267622,285.332756933692,0.0
2940.0,292.7175548797717,292.7866104123012,290.61002163271905,285.3346576425993,0.0
3000.0,292.7854573568119,292.67028765430996,290.5286016519023,285.2889125197448,0.0
3060.0,292.7600381875464,292.61723995272166,290.6178488770995,285.25722662458713,0.0
3120.0,292.7633563609509,292.52394476451184,290.7448417090128,285.4062762749366,0.0
3180.0,292.8547282409428,292.5877806196706,290.7980234773995,285.40816226490307,0.0
3240.0,292.9749549173664,292.590990844597,290.85002041391846,285.45113353069223,0.0
3300.0,292.9768334460997,292.4863577518625,290.7037605920126,285.44143590827895,0.0
3360.0,292.9950805869285,292.3666779557126,290.82588200422293,285.3737344930039,0.0
3420.0,292.8915480815238,292.39406521695577,290.77379013377964,285.32557851371183,0.0
3480.0,292.89394981851956,292.4209443450168,290.72254632846534,285.17025697387356,0.0
3540.0,292.8779190306127,292.53537114652516,290.7028167506066,285.31670996184516,0.0
3600.0,292.8756210794498,292.55431678517436,290.70568668441825,285.2774161505016,0.0
3660.0,292.83331092693356,292.60497490566246,290.79983373317094,285.2828609064447,0.0
3720.0,292.92414015037787,292.5357016585575,290.80423513626477,285.3442425044122,0.0
3780.0,292.96026029242205,292.5755001620399,290.62779433031,285.45083081850123,0.0
3840.0,293.01562369716396,292.6033722307253,290.67286803839085,285.4026383401125,0.0
3900.0,293.0824829088443,292.61338277634957,290.66127955556334,285.30153807652465,0.0
3960.0,293.0027632834149,292.6196991892838,290.66560360949364,285.3156962199806,0.0
4020.0,292.8823312128032,292.67255361528504,290.6113341859274,285.2526846992638,0.0
4080.0,292.80378420626914,292.6410354361321,290.7741533706232,285.27428838069187,0.0
4140.0,292.7126332724657,292.4749415306859,290.7704103510725,285.325881681657,0.0
4200.0,292.5919800764301,292.57719149275533,290.79989711118844,285.309766494595,0.0
4260.0,292.4421932996426,292.5105239653141,290.76134215932325,285.189450844939,0.0
4320.0,292.5004490621588,292.3683090023085,290.74229866467317,285.16093134960045,0.0
4380.0,292.6057346756305,292.3376139953334,290.8769054437661,285.30859614358025,0.0
4440.0,292.568781728697,292.30931003154427,290.8499608168399,285.24626164715636,0.0
4500.0,292.6353228338458,292.27349774277786,290.9618992741751,285.31206182540313,0.0
4560.0,292.59281766325296,292.17074688357275,291.003280355082,285.3065614088517,0.0
4620.0,292.5106103573934,292.20893201249277,290.9698862487144,285.2886236202982,0.0
4680.0,292.43945120849435,292.1214336919635,290.9896736446369,285.3100522257689,0.0
4740.0,292.3895777484948,292.12398528073226,290.95613478880273,285.25966958963824,0.0
4800.0,292.42317479861384,292.1460032507035,290.86039912889333,285.3093212781069,0.0
4860.0,292.39398426126326,292.13781896180797,290.9811647263025,285.3302652276668,0.0
4920.0,292.2054486347917,292.12711372022227,290.8659595454449,285.4595086094224,0.0
4980.0,292.2839415750283,292.2165916798335,290.8564499960997,285.34014740117317,0.0
5040.0,292.3231368792709,292.1314725366979,290.8754991639495,285.2846604521591,0.0
5100.0,292.38488689561314,292.16129182733806,290.7916844837143,285.2193645986507,0.0
5160.0,292.3066614758016,292.1535839589938,290.7898014115658,285.13070488145365,0.0
5220.0,292.35704911085713,292.1421699338896,290.7765735295108,285.1726838325926,0.0
5280.0,292.2111312157692,292.1817087579042,290.8067857274317,285.3097826625971,0.0
5340.0,292.2593521522235,292.2176341096081,290.88170831050735,285.3747369743382,0.0
5400.0,292.30046328222943,292.0836149899605,290.83929927212074,285.35740108720637,0.0
5460.0,292.2761510290103,291.92585995527145,290.8732183553188,285.3382388128279,0.0
5520.0,292.3399886001269,291.83285468332764,290.9335402856714,285.2671783808586,0.0
5580.0,292.23426968929834,291.78264384801105,290.90906783928006,285.24722103419964,0.0
5640.0,292.30084821074314,291.8939791320205,290.9250681024013,285.43706495557507,0.0
5700.0,292.26625356483186,291.90886325925686,290.9817019333494,285.3950490684163,0.0
5760.0,292.3253018335999,291.90091293318585,291.0887376478968,285.3800878966132,0.0
5820.0,292.20413731798794,291.8275106168838,291.0894902181465,285.33492203680606,0.0
5880.0,292.05153592218727,291.7680279685578,291.14981857681414,285.35922997430856,0.0
5940.0,291.99508812978206,291.7403280516368,291.0698697172492,285.3363795351904,0.0
6000.0,291.974959773584,291.57642278259704,290.99806306171695,285.3169461177832,0.0
6060.0,292.0085652239468,291.6839886078912,291.02337259922837,285.35173931434196,0.0
6120.0,292.08581817761825,291.73559322800577,290.9894289423804,285.2078170345696,0.0
6180.0,292.06278024027597,291.65554028996894,291.0372531938688,285.3632762659166,0.0
6240.0,292.0226191929317,291.6569254799315,291.094657315582,285.38643146616295,0.0
6300.0,292.12345466920533,291.63273564398736,291.12148221830415,285.4334058814297,0.0
6360.0,291.97569806508994,291.6388596810343,291.22769027034104,285.3659204767409,0.0
6420.0,291.961779813478,291.6528997137192,291.3505646149076,285.2988938286357,0.0
6480.0,291.92462214147463,291.646603106715,291.3880998161867,285.39334241355766,0.0
6540.0,291.8861111236624,291.69686431186017,291.308616689026,285.4224596113892,0.0
6600.0,291.9644297174875,291.8067886573899,291.3645945460032,285.4132920280019,0.0
6660.0,291.8492630875581,291.8245773330687,291.4457294031581,285.47194557224844,0.0
6720.0,291.8879874804843,291.7555457292068,291.5307875599084,285.4741180627798,0.0
